	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU1978	0	2	0	2	2	4	6	1	0	0	5	4	0	3	0	0	0	0	0	0	0	0	6	0	2	1	0	6	0	7	1	0
OTU1979	0	0	1	5	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU1980	0	0	0	1	2	6	3	2	4	4	0	0	0	0	1	0	1	0	1	0	0	0	2	0	4	0	0	0	0	0	2	0
OTU1981	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1982	0	0	0	0	0	0	0	0	0	3	6	13	7	4	1	2	0	0	3	6	4	0	0	0	0	0	1	0	0	0	0	0
OTU1983	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU1984	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1986	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	1	0	1	3	2	0	0	1	17	2	0	0	0	4	1	2	1
OTU1987	0	1	1	2	6	1	16	3	3	9	2	4	7	4	3	4	4	0	1	7	2	1	9	0	0	12	3	9	7	12	3	3
OTU1988	0	0	0	0	2	0	0	3	0	0	0	1	7	2	0	0	0	1	0	0	0	0	4	0	0	5	0	13	2	0	0	0
OTU1989	1	2	2	1	5	10	6	4	3	6	2	30	4	2	11	5	2	2	1	1	6	0	15	14	17	13	12	20	0	13	0	3
OTU199	0	0	0	0	8	0	3	7	3	4	0	2	4	2	1	11	7	9	1	4	0	0	21	0	1	29	0	26	20	0	0	0
OTU1990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1
OTU1991	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1992	0	2	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1993	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
OTU1994	1	14	10	10	7	7	9	6	5	6	9	4	3	27	8	10	2	11	1	2	6	15	19	1	17	0	3	0	0	5	30	39
OTU1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	2	7	10	5	0	0	0	1
OTU1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
OTU1998	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU20	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	2	5	0	3	2	2	0	1	0	1	1	1	0	0	0
OTU200	2	6	3	0	12	9	16	8	34	0	7	5	1	25	3	2	0	0	1	0	0	1	0	0	0	0	0	2	0	13	3	0
OTU2000	0	0	2	0	0	1	0	2	0	4	22	5	9	2	0	0	0	1	0	4	0	0	23	1937	16	1	1	0	3750	9	0	1
OTU2002	51	54	35	32	47	52	59	79	66	79	101	94	99	80	104	85	36	91	47	54	107	80	43	136	71	54	91	45	43	82	118	162
OTU2003	0	2	0	0	4	2	2	2	5	3	0	0	0	2	0	1	2	0	1	2	0	0	0	0	2	0	0	3	2	4	15	2
OTU2005	1	2	1	0	0	0	0	0	0	1	26	0	6	10	0	0	0	0	1	2	1	0	3	0	18	0	0	0	0	0	0	0
OTU2006	5	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2007	0	0	1	2	2	1	5	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU2008	0	46	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU2013	0	0	0	0	0	0	0	2	1	0	1	2	3	3	0	1	0	1	0	0	1	0	0	1	0	1	2	0	2	1	3	1
OTU2014	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	6	0	0
OTU2016	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OTU2017	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	1	0	0	1	0
OTU2018	0	0	0	3	0	0	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU2019	0	0	2	0	1	4	9	58	8	6	6	9	5	4	1	2	5	3	63	125	8	0	7	0	2	3	8	17	2	7	2	14
OTU202	2	0	0	2	0	0	1	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	3	0	0	1	0
OTU2020	2	11	3	4	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	11	4	1	2	3	1	2	0	3
OTU2021	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	0	0	0	0
OTU2023	4	10	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2024	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2025	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU2028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU2029	5	9	40	10	1	0	2	0	0	10	0	0	0	8	3	0	2	3	3	1	2	370	4	1	3	3	14	54	1	6	2	2
OTU203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2032	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	2	1	0	0	0
OTU2033	91	95	74	90	118	161	123	154	89	119	132	133	187	311	110	216	93	134	121	116	204	288	102	95	108	126	107	66	86	167	255	216
OTU2034	4	9	6	3	1	3	3	0	3	2	4	4	1	2	0	3	4	1	0	0	0	1	2	1	3	13	16	6	5	10	2	3
OTU2035	12	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2038	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU204	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	3	0	0	0	0	0	1	0	0	0	1	2	1	0
OTU2040	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU2041	0	1	0	0	11	5	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
